ps,cor.258176_at,cor.258177_at,cor.258084_at,cor.251865_at,cor.257958_at,cor.255731_at,cor.256187_at,cor.258060_at,cor.259359_at
252177_at,0.08217692546,0.6316630401,0.2219761324,0.2234401684,0.5114216709,0.4260837688,0.439663567,0.4434313217,0.03734686254
252301_at,0.09898429522,0.6753752225,0.2249298835,0.2628089773,0.4716282969,0.4449375243,0.5299461686,0.4410738103,0.05964755884
252307_at,0.1555063715,0.5483643931,0.1443884398,0.2644741025,0.4458025295,0.4625883015,0.5956191982,0.4277341016,0.04367697065
252456_at,0.1687818913,0.6055183863,0.1516317476,0.2226884512,0.5156842742,0.3345830978,0.4209656311,0.3874455131,0.01619820147
252503_at,0.1695957728,0.5646734811,0.2117625672,0.1876344939,0.5109197359,0.3270938636,0.3640811677,0.3456784433,0.01847785634
252564_at,0.2419721611,0.5568356155,0.1497490957,0.4104846935,0.4526061186,0.3293541761,0.4619411076,0.5453430896,0.00541905806
252590_at,0.1661670601,0.5911465544,0.1475798136,0.2415924888,0.4234211191,0.4313268041,0.5211643796,0.4427625783,0.06617282769
252658_at,0.1632430175,0.5252601116,0.1324273091,0.1933045796,0.5051932271,0.3925221939,0.4500045936,0.3710017899,0.06845795923
252690_at,0.1282483974,0.6161163093,0.08579886686,0.2066958505,0.4121369913,0.3998839045,0.5287572943,0.4420942746,0.02054209006
252753_at,0.1883328406,0.5131618464,0.1385502683,0.1704948384,0.5833889535,0.3950913677,0.355234581,0.3617276117,0.08607276161
252773_at,0.1343091456,0.5699021712,0.180704258,0.1633876131,0.5634597789,0.4087377062,0.3967927523,0.3770256386,0.01955134482
